County Tracts,TRACTCE20,Animal,Dockless_vehicle,Graffiti,Historic_Preservation,Health_Sanitation,Information,Park,Property_Maintenance,Streets_Infrastructure,Solid_Waste_Services,Traffic_Signals,Lessthnhighschool18to24,Highschoolgraduate18to24,Somecollegeorassociatedegree18to24,Bachelordegreeorhigher18to24,Lessthan9thgrade,9thto12thgradenodiploma,Highschoolgraduate,Somecollegenodegree,Associatedegree,Bachelordegree,Graduateprofessionaldegree,Highschoolgraduatehigher,Bachelordegreehigher,Totalhousingunits,UnemploymentrateofPopulation16yearsandover,Hispanic,White,Black,AmericanIndianandAlaskaNativealone,Asianalone,NativeHawaiian,other,Under5years,5to9years,10to14years,15to19years,20to24years,25to34years,35to44years,45to54years,55to59years,60to64years,65to74years,75to84years,85yearsandover,Medianage,Owner-occupiedhousingunitswithamortgage,Total,Nobedroom,1bedroom,2bedrooms,3bedrooms,4bedrooms,5ormorebedrooms,Arrest,Distance_To_Police,Offense,TotalCase
1918,191816,37,0,0,0,15,1,0,45,15,12,60,66,83,44,40,47,39,233,535,644,541,560,"2,513","1,101","1,596",1.8,978,"1,670",24,0,537,0,0,12,88,200,180,143,198,260,528,218,224,297,662,212,55.0,"481,100","1,456","1,269","1,244","1,670",-,-,-,0,7496.504176,0,185
1918,191818,62,0,0,0,28,3,47,88,54,133,143,0,174,43,414,44,42,346,"1,066",605,"1,379",574,"3,970","1,953","2,901",5.3,"2,682","2,778",40,0,86,0,0,59,616,308,151,507,"1,209",867,466,429,194,312,401,178,35.0,"433,900","1,489",-,"1,426","1,651",-,-,-,0,6963.662788,0,558
1918,191819,166,0,0,0,21,9,0,192,86,409,299,43,230,424,257,144,59,472,"1,174",418,"2,880","1,335","6,279","4,215","3,517",3.0,"4,919","4,118",570,0,645,0,43,659,724,"1,165",795,653,"1,301","1,758","1,658",323,621,469,331,21,34.3,"380,500","1,768",-,"1,254","1,618","2,605","2,079",-,225,8777.42394,1883,1182
1919,191900,1074,28,8,15,48,31,311,2489,335,1365,182,26,129,11,51,216,385,761,351,46,708,605,"2,471","1,313","2,309",8.4,"2,129","1,092",506,0,54,0,0,167,145,187,118,181,909,580,467,370,185,328,172,61,38.4,"400,600",972,-,746,990,-,-,-,703,2798.954907,1611,5886
1920,192000,491,36,22,0,47,25,635,891,179,774,199,7,173,"1,379",141,68,102,614,507,379,903,772,"3,175","1,675","3,288",3.9,"2,745","2,378",239,3,169,0,16,280,196,158,695,"1,030","1,189",764,499,133,250,387,114,9,30.5,"452,000",962,-,925,"1,392",-,-,-,0,5009.89945,0,3299
1921,192100,246,629,6,78,23,62,219,1353,222,506,270,80,43,0,6,85,115,266,263,105,366,679,"1,679","1,045","1,683",2.9,"1,203",949,54,0,15,0,0,32,20,59,234,38,341,405,258,259,165,325,97,29,45.1,"381,600","1,569",-,"1,522","2,585",-,-,-,0,1632.821599,0,3614
1922,192200,580,0,4,0,59,174,162,413,213,320,301,42,146,170,165,67,151,579,512,86,394,169,"1,740",563,"1,627",4.5,"2,158",472,197,6,141,0,32,154,283,117,109,473,"1,002",363,273,75,90,99,56,0,28.3,"115,200","1,341",979,"1,175","1,473","1,711",-,-,65,743.3453358,385,2226
1923,192300,153,0,0,0,39,9,0,273,82,518,138,53,34,237,123,65,186,208,654,196,"1,195","1,103","3,356","2,298","2,510",9.6,"2,037","2,299",293,0,81,0,0,225,313,159,214,399,867,679,589,262,240,613,265,92,38.9,"434,500","1,286",-,"1,143","1,431",-,-,-,0,2615.119713,0,1212
9800,980001,4,0,0,0,0,0,0,2,6,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,14688.49716,0,52
9800,980002,10,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,1938.885897,0,18
9800,980003,22,0,0,0,1,0,0,4,15,22,9,0,168,166,22,12,0,84,109,115,162,23,493,185,330,8.0,198,616,183,7,8,0,0,57,84,29,166,252,274,110,69,27,10,15,0,0,24.2,-,"1,738",-,-,"1,679","1,783","1,702",-,0,7669.325605,0,73
9800,980004,36,0,0,0,8,25,0,57,62,56,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,539.0987467,0,359
9800,980005,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,4,0.0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,47.5,-,-,-,-,-,-,-,-,0,17023.42106,0,6
9801,980100,119,0,0,0,3,2,0,15,45,29,30,48,172,133,18,0,10,272,164,28,13,0,477,13,352,9.3,901,146,122,0,13,0,0,104,76,48,257,210,226,128,63,0,0,70,0,0,22.0,-,"1,497",-,-,"1,161","1,483",-,-,0,2008.562533,0,243
